"Methedology:
1. Open IDB website
2. Click on 'Projects'
3. Scroll down and click on 'Download Project Information (.xlsx)'
4. Apply following filters: 
            - Sector: AGRICULTURE AND RURAL DEVELOPMENT 
            - Approval date: 01/01/2015-12/31/2025
5. Click three buttons > Export data ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Keywords Found in Unnamed: 1,Keywords Found in Unnamed: 2,Keywords Found in Unnamed: 4,Keywords Found in Unnamed: 8,Keywords Found in Unnamed: 16,Keywords Found in Unnamed: 20,Keywords Found in Unnamed: 22,Keywords Found (Any Column)
RG-X1274,Technological innovations to build resilient livelihoods of rural families in dr,"The general objective is to sustainably manage family farming in the dry corridor. The specific objective is to increase climate resilience of 3,600 families in the Nicaraguas and Honduran Drought Corridor.",Sovereign Guaranteed,Technical Cooperation,12/11/15,3/4/16,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Honduras; Nicaragua; Regional,EXITED,,1000000,FTG/RF-15462-RG,,USD,RFA-Regional Agricultural Fund,400000,375160.83,"Thursday, January 09, 2020",Not Defined,Yes,UNION NACIONAL DE AGRICULTORES Y GANADEROS,,,,['livelihoods'],['farming'],[],[],[],[],[],"['farming', 'livelihoods']"
RG-X1275,Innovation Platform for Sustainability of family livestock systems in UR and AR,"The overall objective of the operation is to improve the sustainability of family farming systems in natural field. The purpose is to improve by 40% the physical - economic performance and coupling production, biodiversity and sustainability of family farmers in Uruguay and Argentina.",Sovereign Guaranteed,Technical Cooperation,12/11/15,3/11/16,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Argentina; Regional; Uruguay,EXITED,,1038992,FTG/RF-15461-RG,,USD,RFA-Regional Agricultural Fund,397292,374040.43,"Friday, March 06, 2020",Not Defined,Yes,INSTITUTO NACIONAL DE INVESTIGACION AGROPECUARIA,,,,['livestock'],['farming'],[],[],[],[],[],"['farming', 'livestock']"
RG-X1276,Varietal centers for Traditional Seed,The overall project objective is to contribute to the competitiveness of family farming through the development of domestic assets by strengthening identity systems that facilitate quality local seed supply.,Sovereign Guaranteed,Technical Cooperation,12/11/15,3/4/16,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Argentina; Chile; Paraguay; Regional; Uruguay,EXITED,,950965,FTG/RF-15460-RG,,USD,RFA-Regional Agricultural Fund,366586,356328.74,"Thursday, August 20, 2020",Not Defined,Yes,INSTITUTO DE INVESTIGACIONES AGROPECUARIAS,,,,[],['farming'],[],[],[],[],[],['farming']
RG-X1277,Biointensive crops for rural families in the dry corridor,"The goal of the project is to reduce hunger and food insecurity implementing Biointensive Growing. The purpose is to improve availability of sufficient and healthy food, promoting sustainable intensification innovative techniques in family farming Seco Central Corridor.",Sovereign Guaranteed,Technical Cooperation,12/11/15,3/1/16,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,El Salvador; Honduras; Nicaragua; Regional,EXITED,,1000930,FTG/RF-15459-RG,,USD,RFA-Regional Agricultural Fund,400000,339686,"Monday, November 26, 2018",Not Defined,No,AMIGOS DE LA TIERRA ESPAÑA,,,,[],"['farming', 'sustainable intensification']",[],[],[],[],[],"['farming', 'sustainable intensification']"
CO-S1011,Social and Business Consolidation of the Association of Women Coffee Growers of,Strengthening the women coffee producers association of West Huila through improving its business management and increasing its technical and productive capacities. This will be done by the technical assistance and financial access provided by CADEFIHILA in association with the Universidad Cooperativa de Colombia.,Non-Sovereign Guaranteed,Loan Operation,12/14/15,12/1/16,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Colombia,EXITED,B13,625000,SP/OC-15-19-CO,,USD,ORC-Ordinary Capital,550000,550000,"Friday, September 08, 2023",COOPERATIVA DEPARTAMENTAL DE CAFICULTORES DEL HUILA LTDA,Yes,COOPERATIVA DEPARTAMENTAL DE CAFICULTORES DEL HUILA LTDA,4.211,2023-09-05,82.3,['association'],['association'],[],[],[],[],[],['association']
CO-X1022,Social and Business Consolidation of the Association of Women Coffee Growers of,The proposed Project expects to contribute to the economic development of the women coffee producers of rural Huila. The project proposes strengthening the women coffee producers association of West Huila through improving its business management and increasing its technical and productive capacities. This will be done by the technical assistance and financial access provided by CADEFIHILA in association with the Universidad Cooperativa de Colombia.,Non-Sovereign Guaranteed,Technical Cooperation,12/14/15,4/25/16,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Colombia,EXITED,,538520,ATN/CF-15438-CO,,USD,COF-Common Account - COFAB,278435,278435,"Wednesday, February 06, 2019",Not Defined,Yes,COOPERATIVA DEPARTAMENTAL DE CAFICULTORES DEL HUILA LTDA,,,,['association'],['association'],[],[],[],[],[],['association']
HA-L1097,Natural Disaster Mitigation Program II,he project objective is to reduce rural economic losses through the improvement of climate risk management in selected watersheds. The specific objectives are to: (i) increase capacities for adaptation to climate change and disaster risk management (DRM) in the agriculture sector; (ii) improve water and sediment conservation in selected gullies of priority watersheds; (iii) reduce the risk of rural economic losses due to floods in targeted watersheds; and (iv) restore the educational capacity of the Faculty of Agronomy and Veterinary Medicine (FAMV) campus.,Sovereign Guaranteed,Grant Financing Product,12/14/15,2/1/16,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Haiti,ACTIVE,B,42750000,3622/GR-HA,ESP,USD,GRF-IDB Grant Facility Account,42000000,41930249.29,"Friday, April 11, 2025",REPUBLIQUE D'HAITI,Yes,MINISTERE DE L AGRICULTURE DES RESOURCES NATURELLES ET DU DEVELOPPEMENT RURAL,,,,[],['veterinary'],['grant'],[],['grant'],[],[],"['grant', 'veterinary']"
BH-M1013,Revitalization of the Sponging Industry,"The objective of the project is to assist the spongers in The Bahamas to increase their global market share through the following activities i) surveying the current state of the Bahamian sponge industry to look at the sustainability and capacity of the natural resource. ii) Investigating avenues of sustainable growth of the industry for sponge farming and expanded use of the total sponge. iii) Educating and training the spongers in methods to grow their sponging businesses which will involve technical and business training. iv) Marketing and promotion of the Bahamian Sponging industry both locally and internationally to maximize the opportunities for job creation and increased income. v) Strengthening of the Fisheries Alliance Association to develop among the members high standards of conduct, practice and responsibility in the pursuit of their trade",Non-Sovereign Guaranteed,Technical Cooperation,12/15/15,3/11/16,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Bahamas,EXITED,C,1118150,ATN/ME-15441-BH,,USD,MSE-Multilateral Investment Fund II (MIF) -,535450,283239.86,"Friday, November 30, 2018",Not Defined,No,BS AGRICULTURAL AND INDUSTRIAL CORPORATION,,,,[],"['association', 'farming']",[],[],[],[],['industrial'],"['association', 'farming', 'industrial']"
CO-L1179,Financing for Coffee Plantation Renewal and Modernization by Women Growers in An,"The target at the impact level is to contribute to the economic and social empowerment of 2,000 small farmers associated with COOPERAN in the departments of Antioquia and Choco. At the results level, the project seeks to establish a system for improving coffee production quality and yield for the targeted beneficiaries in both departments.",Non-Sovereign Guaranteed,Loan Operation,12/15/15,8/22/16,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Colombia,EXITED,,4000000,SP/OC-15-13-CO,,USD,ORC-Ordinary Capital,1000000,1000000,"Friday, September 13, 2019",COOPERATIVA DE CAFICULTORES DE ANDES LTDA.,Yes,COOPERATIVA DE CAFICULTORES DE ANDES LTDA.,,,,[],['yield'],[],[],[],[],[],['yield']
CO-S1010,Financing for Coffee Plantation Renewal and Modernization by Women Growers in An,"The target at the impact level is to contribute to the economic and social empowerment of 2,000 small farmers associated with COOPERAN in the departments of Antioquia and Choco. At the results level, the project seeks to establish a system for improving coffee production quality and yield for the targeted beneficiaries in both departments.",Non-Sovereign Guaranteed,Technical Cooperation,12/15/15,8/1/16,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Colombia,EXITED,C,688421,ATN/OC-15433-CO,,USD,ORC-Ordinary Capital,250000,238253.15,"Tuesday, September 08, 2020",COOPERATIVA DE CAFICULTORES DE ANDES LTDA.,Yes,COOPERATIVA DE CAFICULTORES DE ANDES LTDA.,,,,[],['yield'],[],[],[],[],[],['yield']
BO-X1014,ECOMICRO2 - EcoMicro Project Fundacion Sembrar Sartawi,The objective will be the design of a micro-insurance product for small holder farmers in Bolivia to maintain their income.,Non-Sovereign Guaranteed,Technical Cooperation,12/16/15,5/17/16,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Bolivia,EXITED,,430460,ATN/NV-15419-BO,,USD,NDV-Nordic Development Fund,279085,266109.8,"Wednesday, March 20, 2019",Not Defined,Yes,SEMBRAR SARTAWI INSTITUCIÓN FINANCIERA DE DESARROLLO,,,,[],['smallholder'],[],[],[],[],[],['smallholder']
CO-L1167,Kahai Native Tree Nut Forestry Project,The objective of the Project is to support the Borrower to achieve its growth strategy and extend its operations. The Borrower is the first company to grow this native species at a commercial scale. The existing plantation contributes to cash inflows already. The new plantations will start to generate returns beginning in year four of the Project.,Non-Sovereign Guaranteed,Loan Operation,12/17/15,1/1/01,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Colombia,ACTIVE,,8990000,3636/FM-CO,PSL,USD,FMM-IADB/GEF Trust Fund,1500000,0,"Thursday, December 17, 2015",AGROCACAY S.A.S.,Yes,AGROCACAY S.A.S.,,,,[],[],[],[],[],[],[],[]
ME-L1192,Ejido Verde Reforestation,"The objective of the project is native tree reforestation for pine resin extraction, which will contribute to climate¿change mitigation and heritage trade promotion on idle lands owned by Indigenous communities and collective farms (¿ejidos¿) in Mexico.",Non-Sovereign Guaranteed,Loan Operation,12/17/15,4/25/19,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Mexico,EXITED,,3270000,3637/FM-ME,PSL,USD,FMM-IADB/GEF Trust Fund,1500000,1500000,"Friday, May 10, 2019","RESINAS SINTETICAS, S.A. DE C.V.",Yes,"RESINAS SINTETICAS, S.A. DE C.V.",,,,[],[],[],[],[],[],[],[]
ME-L1192,Ejido Verde Reforestation,"The objective of the project is native tree reforestation for pine resin extraction, which will contribute to climate¿change mitigation and heritage trade promotion on idle lands owned by Indigenous communities and collective farms (¿ejidos¿) in Mexico.",Non-Sovereign Guaranteed,Loan Operation,12/17/15,4/25/19,AGRICULTURE AND RURAL DEVELOPMENT,AGRIBUSINESS,Mexico,EXITED,,3270000,3637A/OC-ME,PSL,USD,ORC-Ordinary Capital,500000,500000,"Monday, April 14, 2025","RESINAS SINTETICAS, S.A. DE C.V.",Yes,"RESINAS SINTETICAS, S.A. DE C.V.",8.151260000000000; 9.493200000000000,2029-04-16; 2029-04-16,121.5; 121.5,[],[],[],[],[],[],[],[]
SU-M1021,Support for income generation opportunities for indigenous and Maroon women in t,This project helps women in Suriname's remote and indigenous villages to access markets for their hot pepper products in the capital city,Non-Sovereign Guaranteed,Technical Cooperation,1/11/16,5/6/16,AGRICULTURE AND RURAL DEVELOPMENT,SUSTAINABLE AGRICULTURAL DEVELOPMENT,Suriname,EXITED,C,300000,ATN/ME-15464-SU,,USD,MSE-Multilateral Investment Fund II (MIF) -,150000,150000,"Tuesday, November 06, 2018",Not Defined,No,STICHTING AMAZON CONSERVATION TEAM GUIANAS,,,,[],[],[],[],[],[],[],[]
SU-T1084,Support of Agricultural Competitiveness Program,"The objective of the proposed TC is to support the design of the Agricultural Competitiveness Program (SU-L1020), the compliance of the eligibility conditions for the disbursement of such program and its partial implementation.",Sovereign Guaranteed,Technical Cooperation,4/27/16,4/27/16,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL HEALTH AND FOOD SAFETY,Suriname,EXITED,,200000,ATN/OC-15551-SU,,USD,ORC-Ordinary Capital,200000,196980.28,"Friday, December 22, 2017",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],[],[],[],[],[]
RG-T2796,Platform for the development of the bio-economy in Latin America and the Caribbean,Create a regional platform for the development of bio-economy for family farming in Latin America and the Caribbean.,Sovereign Guaranteed,Technical Cooperation,5/4/16,5/4/16,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURE AND RURAL DEVELOPMENT,Chile; Headquarters; Peru; Regional,EXITED,,69000,FTG/RF-15563-RG,,USD,RFA-Regional Agricultural Fund,30000,18735,"Wednesday, May 03, 2017",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],['farming'],[],[],[],[],[],['farming']
RG-T2797,Climate technology transfer mechanisms and networks in Latin America and the Caribbean,"The objective of the project is to promote the development and transfer of Environmentally Sound Technologies (EST) in Latin America and the Caribbean (LAC), in order to contribute to the ultimate goal of reducing Greenhouse Gas (GHG) emissions and reducing the vulnerability to climate change in specific sectors in LAC.",Sovereign Guaranteed,Technical Cooperation,5/4/16,5/4/16,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL RESEARCH AND INNOVATION,Argentina; Bolivia; Chile; Colombia; Costa Rica; Dominican Republic; Ecuador; Headquarters; Honduras; Nicaragua; Panama; Paraguay; Peru; Regional; Uruguay; Venezuela,EXITED,,250000,FTG/RF-15564-RG,,USD,RFA-Regional Agricultural Fund,250000,243741.3,"Tuesday, November 19, 2019",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],['greenhouse gas'],[],[],[],[],[],['greenhouse gas']
RG-T2808,"FONTAGRO’s 2016 Photo Contest: “In a New Light: Family Farming in Latin America, the Caribbean, and Spain”","FONTAGRO's 2016 Photo Contest ""In a New Light: Family Farming in Latin America, the Caribbean, and Spain"" (the ""Contest"") begun on February 18, 2016, and ended on March 31, 2016, at 12:00 PM United States Eastern Time. The categories were:
 1- People: small farmers and their families (including faces, half body or full body, etc.)
 2 - Places: photographs that showcase breathtaking agricultural landscapes in Latin America, the Caribbean, and Spain.
 3- Agriculture in Action: including cattle, crops, plantations, agricultural activities (such as planting, production, and harvesting), processing, marketing, markets, use of technology, etc.
 4- FONTAGRO Projects:1 photographs that showcase FONTAGRO projects that have been completed or are in the implementation phase, or that highlight areas of impact of said projects.
 The winner in each category will receive a $1,000 cash prize. Winning photographs will be part of the permanent photo gallery that can be showcased in FONTAGRO's website and websites of authorized parties, as well as in FONTAGRO's printed materials. Photographs that are chosen as finalists will also be part of an ad hoc publication.",Sovereign Guaranteed,Technical Cooperation,5/4/16,5/4/16,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURE AND RURAL DEVELOPMENT,Argentina; Bolivia; Chile; Colombia; Costa Rica; Dominican Republic; Ecuador; Headquarters; Honduras; Nicaragua; Panama; Paraguay; Peru; Regional; Uruguay; Venezuela,EXITED,,7000,FTG/RF-15562-RG,,USD,RFA-Regional Agricultural Fund,7000,6999.25,"Friday, December 09, 2016",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,['farming'],"['cattle', 'farming', 'processing']",[],[],[],[],[],"['cattle', 'farming', 'processing']"
BO-T1257,Support for the preparation of the Agricultural Health and Food Safety II,"The objective of this Technical Cooperation (TC) is to provide support the Plurinational State of Bolivia in the elaboration of technical, operational and institutional design studies, preparation, approval and initial implementation of the second phase of the Agricultural Health and Food Safety II ( SENASAG).",Sovereign Guaranteed,Technical Cooperation,5/6/16,5/6/16,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL HEALTH AND FOOD SAFETY,Bolivia,EXITED,C,250000,ATN/OC-15560-BO,,USD,ORC-Ordinary Capital,100000,99308,"Friday, June 07, 2019",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],[],[],[],[],[]
BO-T1257,Support for the preparation of the Agricultural Health and Food Safety II,"The objective of this Technical Cooperation (TC) is to provide support the Plurinational State of Bolivia in the elaboration of technical, operational and institutional design studies, preparation, approval and initial implementation of the second phase of the Agricultural Health and Food Safety II ( SENASAG).",Sovereign Guaranteed,Technical Cooperation,5/6/16,5/6/16,AGRICULTURE AND RURAL DEVELOPMENT,AGRICULTURAL HEALTH AND FOOD SAFETY,Bolivia,EXITED,C,250000,ATN/OC-15561-BO,,USD,ORC-Ordinary Capital,150000,141109.45,"Friday, June 07, 2019",Not Defined,Yes,INTER-AMERICAN DEVELOPMENT BANK,,,,[],[],[],[],[],[],[],[]
